id,name,type,year,total_earners,male_earners,female_earners,median_earnings,male_median_earnings,male_full_time_median_earnings,female_full_time_median_earnings,female_median_earnings,percent_with_earnings_1_to_9999,percent_with_earnings_10000_to_14999,percent_with_earnings_15000_to_24999,percent_with_earnings_25000_to_34999,percent_with_earnings_35000_to_49999,percent_with_earnings_50000_to_64999,percent_with_earnings_65000_to_74999,percent_with_earnings_75000_to_99999,percent_with_earnings_over_100000,median_earnings_less_than_high_school,median_earnings_high_school,median_earnings_some_college_or_associates,median_earnings_bachelor_degree,median_earnings_graduate_or_professional_degree,ratio_male_earners,ratio_female_earners,ratio_median_male_to_female_earnings,ratio_full_time_median_male_to_female_earnings,ratio_less_than_high_school_to_median,ratio_high_school_to_median,ratio_some_college_or_associates_to_median,ratio_bachelor_to_median,ratio_graduate_to_median,population
0100000US,United States,nation,2013,161196351,84706186,76490165,30538,35786,49087,38635,25416,2,4,14.3,16.9,20.3,14.9,6,9.7,12,19652,27528,33702,50254,66493,0.525,0.475,1.408,1.271,0.644,0.901,1.104,1.646,2.177,311536594
0200000US1,Northeast Region,region,2013,29727413,15353415,14373998,34115,40816,54032,43676,28975,1.6,2.9,11.1,14.8,19.8,16,6.8,11.6,15.3,21042,30597,37210,53883,71835,0.516,0.484,1.409,1.237,0.617,0.897,1.091,1.579,2.106,55564549
0200000US2,Midwest Region,region,2013,35774569,18594707,17179862,29888,35761,48785,37162,24169,2,3.5,13.7,17.8,21.9,15.7,6.2,9.3,9.7,20148,27453,32592,47781,63304,0.52,0.48,1.48,1.313,0.674,0.919,1.09,1.599,2.118,67148157
0200000US3,South Region,region,2013,58481783,30716040,27765743,29055,33590,45449,35888,24461,2.2,4.7,16.3,18,20.3,14,5.4,8.5,10.5,18948,26482,32273,48483,63384,0.525,0.475,1.373,1.266,0.652,0.911,1.111,1.669,2.182,116015264
0200000US4,West Region,region,2013,37212586,20042024,17170562,30697,35605,50338,40699,25622,2,3.9,13.9,15.7,19.3,14.6,6.2,10.7,13.8,19579,28015,35009,51451,70628,0.539,0.461,1.39,1.237,0.638,0.913,1.14,1.676,2.301,72808624
0300000US1,New England Division,division,2013,8190524,4190143,4000381,35041,42077,57171,45378,29594,1.4,2.2,9.2,14.2,20.3,16.8,7.4,12.4,16.2,22346,31551,37519,53682,71020,0.512,0.488,1.422,1.26,0.638,0.9,1.071,1.532,2.027,14513709
0300000US2,Middle Atlantic Division,division,2013,21536889,11163272,10373617,33765,40352,53100,43040,28744,1.7,3.2,11.9,15,19.6,15.7,6.6,11.3,15,20695,30271,37094,53959,72212,0.518,0.482,1.404,1.234,0.613,0.897,1.099,1.598,2.139,41050840
0300000US3,East North Central Division,division,2013,24246036,12581552,11664484,29847,35908,49820,37750,24040,1.9,3.5,13.7,17.3,21.3,15.9,6.5,9.8,10.1,19901,27416,32605,49012,64832,0.519,0.481,1.494,1.32,0.667,0.919,1.092,1.642,2.172,46505971
0300000US4,West North Central Division,division,2013,11528533,6013155,5515378,29966,35486,46818,36123,24426,2.2,3.7,13.9,18.9,22.9,15.3,5.7,8.5,8.9,20670,27550,32566,45789,59908,0.522,0.478,1.453,1.296,0.69,0.919,1.087,1.528,1.999,20642186
0300000US5,South Atlantic Division,division,2013,30803815,15973953,14829862,30174,34279,46749,37634,25785,2,4.1,15.3,17.8,20.4,14.1,5.6,9,11.7,18985,26627,32444,48661,65889,0.519,0.481,1.329,1.242,0.629,0.882,1.075,1.613,2.184,60548943
0300000US6,East South Central Division,division,2013,9025346,4713409,4311937,26777,31873,43141,32796,22285,2.4,5,17.8,19.6,21.5,14,5,7.2,7.5,18330,25699,30956,44287,54971,0.522,0.478,1.43,1.315,0.685,0.96,1.156,1.654,2.053,18539869
0300000US7,West South Central Division,division,2013,18652622,10028678,8623944,28367,33590,44785,34457,23063,2.4,5.5,17.3,17.5,19.7,13.9,5.3,8.3,10.1,19106,26690,32788,49955,62917,0.538,0.462,1.456,1.3,0.674,0.941,1.156,1.761,2.218,36926452
0300000US8,Mountain Division,division,2013,11540801,6210262,5330539,29171,34181,47413,36825,23988,2.2,4.3,14.4,17.7,21.2,14.7,5.9,9.3,10.2,20408,27318,32530,45743,61044,0.538,0.462,1.425,1.288,0.7,0.936,1.115,1.568,2.093,22364529
0300000US9,Pacific Division,division,2013,25671785,13831762,11840023,31270,36300,51514,42582,26334,1.9,3.8,13.7,14.8,18.4,14.5,6.3,11.3,15.4,19326,28482,36234,53694,74858,0.539,0.461,1.378,1.21,0.618,0.911,1.159,1.717,2.394,50444095
0400000US01,Alabama,state,2013,2301247,1204874,1096373,26938,32742,44736,32711,21875,2.3,5,17.7,18.6,20.7,14.4,5.3,7.7,8.2,18641,25851,31138,46556,56668,0.524,0.476,1.497,1.368,0.692,0.96,1.156,1.728,2.104,4799277
0400000US02,Alaska,state,2013,419911,232452,187459,35169,42394,57361,43215,29363,1.7,2.5,10.1,14.6,20,17,7.8,13.5,12.7,23249,32196,41059,52590,70120,0.554,0.446,1.444,1.327,0.661,0.915,1.167,1.495,1.994,720316
0400000US04,Arizona,state,2013,3105394,1662193,1443201,29567,32841,45579,37357,25479,2.1,4.4,14.9,17.8,21.7,14.3,5.6,9,10.2,19110,26591,33740,48461,60652,0.535,0.465,1.289,1.22,0.646,0.899,1.141,1.639,2.051,6479703
0400000US05,Arkansas,state,2013,1413730,743753,669977,25715,30456,40245,31016,21512,2.5,5.5,20.4,20.5,21.1,12.7,4.6,6.3,6.4,19793,25236,29421,43727,56434,0.526,0.474,1.416,1.298,0.77,0.981,1.144,1.7,2.195,2933369
0400000US06,California,state,2013,18840355,10189476,8650879,31212,35658,51207,43528,26552,1.9,4,14.2,14.4,17.6,14,6.1,11.3,16.4,19122,27952,36901,55262,78746,0.541,0.459,1.343,1.176,0.613,0.896,1.182,1.771,2.523,37659181
0400000US08,Colorado,state,2013,2883225,1550045,1333180,31833,37817,51766,41155,26455,1.9,3.8,11.6,15.7,20.8,15.4,6.5,10.8,13.5,21047,29691,34718,48120,63105,0.538,0.462,1.429,1.258,0.661,0.933,1.091,1.512,1.982,5119329
0400000US09,Connecticut,state,2013,1988231,1025322,962909,37896,45840,62539,48705,31112,1.3,2,8.4,12.2,18.7,16.6,7.8,14,18.9,22270,33524,40152,59515,77705,0.516,0.484,1.473,1.284,0.588,0.885,1.06,1.57,2.05,3583561
1600000US0111488,"Calvert CDP, Alabama",place,2013,76,17,59,16279,0,0,0,0,0,0,71.7,28.3,0,0,0,0,0,0,0,0,0,0,0.224,0.776,0,0,0,0,0,0,0,206
0400000US10,Delaware,state,2013,480468,244226,236242,32381,38638,51222,41469,28183,1.5,3,11.8,16.4,22,16.5,6.8,10.5,11.3,21123,30655,37584,50850,68150,0.508,0.492,1.371,1.235,0.652,0.947,1.161,1.57,2.105,908446
0400000US11,District of Columbia,state,2013,365586,177932,187654,45231,48526,67487,60383,42964,1.2,2.1,6.7,9.8,16.8,14.9,7.7,14.9,25.9,22471,30179,37914,61334,82921,0.487,0.513,1.129,1.118,0.497,0.667,0.838,1.356,1.833,619371
1600000US0643126,"Lookout CDP, California",place,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0400000US12,Florida,state,2013,9288727,4829264,4459463,27208,30915,42086,34852,24574,2.1,4.9,17.8,19.6,21,13.1,4.9,7.5,9.1,18106,25152,31130,43710,58961,0.52,0.48,1.258,1.208,0.665,0.924,1.144,1.607,2.167,19091156
0400000US13,Georgia,state,2013,4851322,2534112,2317210,29205,33364,45518,36313,24937,2.2,4.5,16.1,18.1,19.9,14.5,5.6,8.5,10.6,18361,26239,31954,50215,62411,0.522,0.478,1.338,1.253,0.629,0.898,1.094,1.719,2.137,9810417
0400000US15,Hawaii,state,2013,742945,398833,344112,32394,37368,47447,39021,28821,2,3.2,13.2,18.4,22.1,16.1,6.2,9.9,8.8,21746,30287,35814,45940,61277,0.537,0.463,1.297,1.216,0.671,0.935,1.106,1.418,1.892,1376298
0400000US16,Idaho,state,2013,812382,438405,373977,24696,30815,42818,31694,19289,2.7,4.9,17,20.5,21.4,13.8,4.9,7.6,7.1,19851,24714,27672,40215,58335,0.54,0.46,1.598,1.351,0.804,1.001,1.121,1.628,2.362,1583364
0400000US17,Illinois,state,2013,6754544,3523545,3230999,31780,38715,52649,40900,26154,1.6,3.2,13.2,15.6,19.6,15.7,6.8,11.1,13.2,20962,28242,34638,51864,68489,0.522,0.478,1.48,1.287,0.66,0.889,1.09,1.632,2.155,12848554
0400000US18,Indiana,state,2013,3387399,1776422,1610977,28334,34816,46822,34434,22549,1.9,3.8,14.8,19.5,22.6,15.5,5.9,8.4,7.8,19638,27940,32222,45396,60487,0.524,0.476,1.544,1.36,0.693,0.986,1.137,1.602,2.135,6514861
0400000US19,Iowa,state,2013,1742719,910836,831883,29498,35502,45814,35025,23707,2.1,3.5,13.7,20,24.4,16.1,5.6,7.5,7.2,21606,28271,32641,45273,59430,0.523,0.477,1.498,1.308,0.732,0.958,1.107,1.535,2.015,3062553
0400000US20,Kansas,state,2013,1579367,835475,743892,29196,35131,45922,34935,23297,2.4,3.9,14.8,19.3,22.5,14.7,5.5,8.1,8.8,21618,27011,31620,44761,57757,0.529,0.471,1.508,1.314,0.74,0.925,1.083,1.533,1.978,2868107
0400000US21,Kentucky,state,2013,2140992,1125009,1015983,26688,31812,43622,33399,22210,2.5,4.9,17.3,19.2,21.7,14.7,5.3,7.4,7.1,18498,25981,30932,44240,54213,0.525,0.475,1.432,1.306,0.693,0.974,1.159,1.658,2.031,4361333
0400000US22,Louisiana,state,2013,2268505,1183860,1084645,28391,36779,48277,32081,21955,2.6,5.9,16.9,17.3,20.1,14.5,5.6,8.4,8.8,19411,27740,31842,47004,56827,0.522,0.478,1.675,1.505,0.684,0.977,1.122,1.656,2.002,4567968
0400000US23,Maine,state,2013,739430,377873,361557,27636,32552,45096,35429,23575,1.9,3.4,14.3,20.6,23.4,16,5.7,7.6,7.2,20443,26428,31048,41871,53614,0.511,0.489,1.381,1.273,0.74,0.956,1.123,1.515,1.94,1328320
0400000US24,Maryland,state,2013,3267632,1652887,1614745,40331,45611,59601,50101,34855,1.4,2.5,9,12.7,18.4,16.4,7.3,13.5,18.8,23517,33366,42467,59493,81245,0.506,0.494,1.309,1.19,0.583,0.827,1.053,1.475,2.014,5834299
